"date","line","station_name","get_in","get_off"
"260",20170601,"2호선","용두(동대문구청)",2514,2639
"261",20170601,"3호선","지축",1288,1462
"262",20170601,"3호선","구파발",22569,19484
"263",20170601,"3호선","연신내",47315,44523
"264",20170601,"3호선","불광",21998,23417
"265",20170601,"3호선","녹번",15136,13144
"266",20170601,"3호선","홍제",23186,21979
"267",20170601,"3호선","무악재",4948,4838
"268",20170601,"3호선","독립문",8913,9201
"269",20170601,"3호선","경복궁(정부서울청사)",28236,29128
"270",20170601,"3호선","안국",28252,30502
"271",20170601,"3호선","종로3가",10438,13060
"272",20170601,"3호선","을지로3가",11173,12368
"273",20170601,"3호선","충무로",1,0
"274",20170601,"3호선","동대입구",13118,15288
"275",20170601,"3호선","약수",16288,16009
"276",20170601,"3호선","금호",9903,9108
"277",20170601,"3호선","옥수",11436,11811
"278",20170601,"3호선","압구정",36916,40511
"279",20170601,"3호선","신사",32741,35632
"280",20170601,"3호선","잠원",7174,6778
"281",20170601,"3호선","고속터미널",52576,49392
"282",20170601,"3호선","교대(법원.검찰청)",18539,13085
"283",20170601,"3호선","남부터미널(예술의전당)",36751,37937
"284",20170601,"3호선","양재(서초구청)",48497,51968
"285",20170601,"3호선","매봉",14232,13931
"286",20170601,"1호선","서울역",55172,54228
"287",20170601,"1호선","시청",26997,27802
"288",20170601,"1호선","종각",49767,48438
"289",20170601,"1호선","종로3가",36416,33280
"290",20170601,"1호선","종로5가",28228,28797
"291",20170601,"1호선","동대문",15570,17615
"292",20170601,"1호선","신설동",18009,17749
"293",20170601,"1호선","제기동",21050,21506
"294",20170601,"1호선","청량리(서울시립대입구)",29552,30023
"295",20170601,"1호선","동묘앞",9704,10134
"296",20170601,"2호선","시청",28167,27975
"297",20170601,"2호선","을지로입구",52169,53873
"298",20170601,"2호선","을지로3가",23388,23429
"299",20170601,"2호선","을지로4가",14597,14268
"300",20170601,"2호선","동대문역사문화공원",18525,21081
"301",20170601,"2호선","신당",16721,17305
"302",20170601,"2호선","상왕십리",15139,14448
"303",20170601,"2호선","왕십리(성동구청)",22635,17714
"304",20170601,"2호선","한양대",16195,19965
"305",20170601,"2호선","뚝섬",19404,20686
"306",20170601,"2호선","성수",32224,35299
"307",20170601,"경인선","백운",10780,10565
"308",20170601,"경인선","동암",22998,22956
"309",20170601,"경인선","주안",29455,27895
"310",20170601,"경인선","제물포",13983,13190
"311",20170601,"경인선","동인천",20301,19297
"312",20170601,"경인선","온수(성공회대입구)",8956,8644
"313",20170601,"경인선","중동",11881,11058
"314",20170601,"경인선","도화",4761,4280
"315",20170601,"경춘선","신내",904,1012
"316",20170601,"경춘선","갈매",2186,1901
"317",20170601,"경춘선","별내",2935,2819
"318",20170601,"경춘선","퇴계원",4183,3908
"319",20170601,"경춘선","사릉",4428,4113
"320",20170601,"경춘선","금곡",1787,1714
"321",20170601,"경춘선","평내호평",7060,6713
"322",20170601,"경춘선","천마산",1693,1555
"323",20170601,"경춘선","마석",4312,4460
"324",20170601,"경춘선","대성리",530,630
"325",20170601,"경춘선","청평",2112,2068
"326",20170601,"경춘선","상천",393,362
"327",20170601,"경춘선","가평",2065,2031
"328",20170601,"경춘선","굴봉산",176,181
"329",20170601,"경춘선","백양리",134,133
"330",20170601,"경춘선","강촌",774,698
"331",20170601,"경춘선","김유정",389,451
"332",20170601,"경춘선","남춘천",3398,3200
"333",20170601,"경춘선","춘천",2545,2159
"334",20170601,"공항철도 1호선","서울역",10461,8061
"335",20170601,"공항철도 1호선","공덕",2042,2440
"336",20170601,"공항철도 1호선","홍대입구",8972,8921
"337",20170601,"공항철도 1호선","디지털미디어시티",14887,12991
"338",20170601,"공항철도 1호선","김포공항",10759,7297
"339",20170601,"공항철도 1호선","계양",12584,11725
"340",20170601,"공항철도 1호선","검암",10211,9697
"341",20170601,"공항철도 1호선","청라국제도시",5630,5429
"342",20170601,"공항철도 1호선","운서",5891,5857
"343",20170601,"공항철도 1호선","공항화물청사",2856,3252
"344",20170601,"공항철도 1호선","인천국제공항",14747,15003
"345",20170601,"공항철도 1호선","영종",1864,1849
"346",20170601,"과천선","선바위",10687,8685
"347",20170601,"과천선","경마공원",2858,2894
"348",20170601,"과천선","대공원",6530,6728
"349",20170601,"과천선","과천",5335,4477
"350",20170601,"2호선","건대입구",46487,50177
"351",20170601,"2호선","구의(광진구청)",26754,25939
"352",20170601,"2호선","강변(동서울터미널)",47754,44371
"353",20170601,"2호선","잠실나루",21133,20153
"354",20170601,"2호선","잠실(송파구청)",87955,83362
"355",20170601,"2호선","잠실새내",29538,29153
"356",20170601,"2호선","종합운동장",15714,18055
"357",20170601,"2호선","삼성(무역센터)",62993,66368
"358",20170601,"2호선","선릉",66194,57491
"359",20170601,"2호선","역삼",56140,62714
"360",20170601,"2호선","강남",109343,108340
"361",20170601,"2호선","교대(법원.검찰청)",44647,49981
"362",20170601,"2호선","서초",24969,25757
"363",20170601,"2호선","방배",26616,27297
"364",20170601,"2호선","사당",46698,53593
"365",20170601,"2호선","낙성대",34764,33969
"366",20170601,"2호선","서울대입구(관악구청)",59245,57296
"367",20170601,"2호선","봉천",27094,24704
"368",20170601,"2호선","신림",78143,75916
"369",20170601,"2호선","신대방",31918,30368
"370",20170601,"2호선","구로디지털단지",73516,74108
"371",20170601,"2호선","대림(구로구청)",33547,34365
"372",20170601,"2호선","신도림",66888,66595
"373",20170601,"2호선","문래",22875,23082
"374",20170601,"2호선","영등포구청",26216,26616
"375",20170601,"2호선","당산",25974,29271
"376",20170601,"분당선","이매",6868,6133
"377",20170601,"분당선","보정",3347,2692
"378",20170601,"분당선","죽전",19233,21231
"379",20170601,"분당선","구성",5837,5779
"380",20170601,"분당선","신갈",5322,5146
"381",20170601,"분당선","기흥",9955,9743
"382",20170601,"분당선","상갈",6169,5692
"383",20170601,"분당선","청명",4767,4495
"384",20170601,"분당선","영통",10352,10790
"385",20170601,"분당선","망포",14571,13298
"386",20170601,"분당선","매탄권선",5158,4917
"387",20170601,"분당선","수원시청",11651,12929
"388",20170601,"분당선","매교",3464,3361
"389",20170601,"수인선","달월",155,105
"390",20170601,"수인선","월곶",3351,3129
"391",20170601,"수인선","소래포구",6419,6011
"392",20170601,"수인선","인천논현",7182,7592
"393",20170601,"수인선","호구포",3970,4051
"394",20170601,"수인선","남동인더스파크",2820,3248
"395",20170601,"수인선","원인재",5959,6003
"396",20170601,"수인선","연수",5816,5803
"397",20170601,"수인선","송도",3642,3504
"398",20170601,"수인선","인하대",7729,7294
"399",20170601,"수인선","숭의",3935,3735
"400",20170601,"수인선","신포",2349,2464
"401",20170601,"수인선","인천",1030,1783
"402",20170601,"안산선","산본",20564,22037
"403",20170601,"안산선","대야미",4711,4348
"404",20170601,"안산선","반월",5588,5217
"405",20170601,"안산선","상록수",24805,24622
"406",20170601,"안산선","한대앞",11602,11339
"407",20170601,"안산선","중앙",19018,19907
"408",20170601,"안산선","고잔",10140,10024
"409",20170601,"안산선","초지",5856,6161
"410",20170601,"안산선","안산",17686,16161
"411",20170601,"안산선","신길온천",2190,1927
"412",20170601,"안산선","정왕",11489,12070
"413",20170601,"안산선","오이도",10193,10105
"414",20170601,"3호선","도곡",8096,7766
"415",20170601,"3호선","대치",13679,13016
"416",20170601,"3호선","학여울",4277,4520
"417",20170601,"3호선","대청",12289,10835
"418",20170601,"3호선","일원",10417,10607
"419",20170601,"3호선","수서",18383,18049
"420",20170601,"3호선","가락시장",11249,10971
"421",20170601,"3호선","경찰병원",9040,8934
"422",20170601,"3호선","오금",8273,7379
"423",20170601,"4호선","당고개",14885,13933
"424",20170601,"4호선","상계",25266,22357
"425",20170601,"4호선","노원",25581,28387
"426",20170601,"4호선","창동",33847,36086
"427",20170601,"4호선","쌍문",39592,34765
"428",20170601,"4호선","수유(강북구청)",52196,50948
"429",20170601,"4호선","미아(서울사이버대학)",21791,19943
"430",20170601,"4호선","미아사거리",35931,35092
"431",20170601,"4호선","길음",33138,32239
"432",20170601,"4호선","성신여대입구(돈암)",30915,28179
"433",20170601,"4호선","한성대입구(삼선교)",20382,19136
"434",20170601,"4호선","혜화",44464,45520
"435",20170601,"4호선","동대문",27925,28656
"436",20170601,"4호선","동대문역사문화공원",23149,21985
"437",20170601,"4호선","충무로",40197,41022
"438",20170601,"경인선","간석",7971,7306
"439",20170601,"경인선","도원",6659,6682
"440",20170601,"5호선","까치산",33614,31819
"441",20170601,"5호선","신정(은행정)",17331,13422
"442",20170601,"5호선","목동",21796,22950
"443",20170601,"5호선","오목교(목동운동장앞)",28362,30730
"444",20170601,"5호선","양평",7526,7619
"445",20170601,"5호선","영등포구청",4312,4572
"446",20170601,"5호선","영등포시장",9468,10118
"447",20170601,"5호선","신길",3633,4229
"448",20170601,"5호선","여의도",27901,30505
"449",20170601,"5호선","여의나루",10237,10933
"450",20170601,"5호선","마포",16695,17184
"451",20170601,"5호선","공덕",15671,16787
"452",20170601,"5호선","애오개",8893,8821
"453",20170601,"5호선","충정로(경기대입구)",5916,6120
"454",20170601,"5호선","서대문",21405,22414
"455",20170601,"5호선","광화문(세종문화회관)",39550,42283
"456",20170601,"5호선","종로3가",14419,14591
"457",20170601,"5호선","을지로4가",5929,6513
"458",20170601,"5호선","동대문역사문화공원",3454,4091
"459",20170601,"5호선","청구",4720,4424
"460",20170601,"5호선","신금호",6771,6869
"461",20170601,"5호선","행당",9898,8404
"462",20170601,"5호선","왕십리(성동구청)",5685,6469
"463",20170601,"5호선","마장",7419,7195
"464",20170601,"5호선","답십리",18597,16861
"465",20170601,"5호선","장한평",21762,21673
"466",20170601,"5호선","군자(능동)",12736,15415
"467",20170601,"5호선","아차산(어린이대공원후문)",17146,16095
"468",20170601,"5호선","광나루(장신대)",16330,14681
"469",20170601,"5호선","천호(풍납토성)",21769,23620
"470",20170601,"5호선","강동",21791,18699
"471",20170601,"5호선","길동",8601,8726
"472",20170601,"5호선","굽은다리(강동구민회관앞)",11061,10424
"473",20170601,"5호선","명일",9312,9554
"474",20170601,"5호선","고덕",11867,11315
"475",20170601,"5호선","상일동",13821,11320
"476",20170601,"5호선","둔촌동",14603,14296
"477",20170601,"5호선","올림픽공원(한국체대)",6573,6329
"478",20170601,"과천선","정부과천청사",13373,12574
"479",20170601,"과천선","인덕원",30291,29429
"480",20170601,"과천선","평촌",19928,19670
"481",20170601,"과천선","범계",34276,33282
"482",20170601,"분당선","선릉",10763,21714
"483",20170601,"분당선","한티",15327,16520
"484",20170601,"분당선","도곡",7866,8257
"485",20170601,"분당선","구룡",2588,2462
"486",20170601,"분당선","개포동",4223,4256
"487",20170601,"분당선","대모산입구",3976,3554
"488",20170601,"분당선","수서",14220,14269
"489",20170601,"분당선","복정",1,0
"490",20170601,"분당선","수원",12064,7723
"491",20170601,"분당선","서울숲",8577,8386
"492",20170601,"분당선","압구정로데오",15828,18139
"493",20170601,"분당선","강남구청",10063,11703
"494",20170601,"분당선","선정릉",9322,10697
"495",20170601,"분당선","가천대",14058,15319
"496",20170601,"분당선","태평",16295,15481
"497",20170601,"분당선","모란",23825,23643
"498",20170601,"분당선","야탑",31851,33680
"499",20170601,"분당선","서현",29457,30531
"500",20170601,"분당선","수내",15667,16049
"501",20170601,"분당선","정자",19342,21346
"502",20170601,"분당선","미금",21849,23998
"503",20170601,"분당선","오리",16595,13715
"504",20170601,"5호선","방이",8028,8226
"505",20170601,"5호선","오금",4587,4608
"506",20170601,"5호선","개롱",7826,7746
"507",20170601,"5호선","거여",7828,7420
"508",20170601,"5호선","마천",5978,5812
"509",20170601,"6호선","응암",20272,19864
"510",20170601,"6호선","역촌",4395,5038
"511",20170601,"6호선","불광",6076,6047
"512",20170601,"6호선","독바위",3375,3462
"513",20170601,"6호선","구산",9652,6927
"514",20170601,"6호선","새절(신사)",17079,16171
"515",20170601,"6호선","증산(명지대앞)",12264,11729
"516",20170601,"6호선","디지털미디어시티",16798,18982
"517",20170601,"6호선","월드컵경기장(성산)",6114,6541
"518",20170601,"6호선","마포구청",15643,13745
"519",20170601,"6호선","망원",14729,16182
"520",20170601,"6호선","합정",15747,14458
"521",20170601,"6호선","상수",11439,13286
"522",20170601,"6호선","광흥창(서강)",11398,11066
"523",20170601,"6호선","대흥(서강대앞)",10198,10947
"524",20170601,"6호선","공덕",21110,20811
"525",20170601,"6호선","효창공원앞",8760,8391
"526",20170601,"6호선","삼각지",8320,7050
"527",20170601,"6호선","녹사평(용산구청)",7487,7598
"528",20170601,"6호선","이태원",14689,16598
"529",20170601,"6호선","한강진",7173,8749
"530",20170601,"6호선","버티고개",3015,2803
